Generation,Approach,GreenTime,MeanDelay,MaxDelay,MinDelay,VehicleCount
1,west,30,43.836931690929454,215.41,4.58,893
1,south,30,52.47575654152446,179.14,7.93,879
1,north,30,46.32501113585746,162.51,0.74,898
1,east,30,51.11224719101123,174.24,3.47,890
2,west,37,53.10810538116591,180.39,4.49,892
2,south,31,51.94056689342404,147.36,8.07,882
2,north,32,47.071369248035914,153.23,0.69,891
2,east,26,52.20287005649718,168.77,3.32,885
3,west,38,51.31681664791901,251.57,2.85,889
3,south,32,53.63654503990878,181.35,8.07,877
3,north,34,47.71553829078801,130.56,0.64,901
3,east,27,53.384501679731244,156.55,6.15,893
4,west,39,75.53477628635346,270.37,4.36,894
4,south,38,55.23116091954023,147.22,7.95,870
4,north,36,47.40066371681416,159.28,0.8,904
4,east,23,49.22300675675675,133.23,6.02,888
5,west,39,58.40581005586592,287.35,3.16,895
5,south,39,56.45617647058824,157.08,8.14,884
5,north,39,49.30248035914702,144.43,0.76,891
5,east,30,53.309295454545456,141.36,3.89,880
6,west,45,56.92027964205816,261.96,4.68,894
6,south,40,57.637403628117916,158.1,7.86,882
6,north,42,53.96145598194131,175.19,0.58,886
6,east,37,60.494988636363644,159.94,6.65,880
7,west,42,56.40539664804469,323.17,3.1,895
7,south,41,60.899368658399105,165.54,8.29,887
7,north,44,53.08762065095399,224.2,0.78,891
7,east,38,59.58695652173913,162.26,3.07,874
8,west,44,57.199389140271485,262.94,4.23,884
8,south,42,60.989999999999995,179.18,7.67,871
8,north,46,53.99953744493392,160.88,0.65,908
8,east,39,60.79736547085202,163.66,5.41,892
9,west,46,61.989830124575306,299.51,3.51,883
9,south,48,64.59184845005741,199.0,7.66,871
9,north,48,56.141411245865484,206.11,0.76,907
9,east,40,61.81634529147982,173.03,5.99,892
10,west,42,60.817155756207676,267.0,4.66,886
10,south,49,66.4721142857143,179.78,7.88,875
10,north,51,55.14916573971079,195.24,0.72,899
10,east,41,60.74907158836689,167.76,3.42,894
11,west,43,60.670641169853766,214.72,4.26,889
11,south,45,66.60101482326112,185.25,7.95,877
11,north,54,53.83692737430168,162.5,0.82,895
11,east,42,64.30765100671141,183.47,3.23,894
12,west,44,60.29663276836158,308.78,3.06,885
12,south,46,70.59628440366973,196.88,7.83,872
12,north,57,56.43114790286975,174.07,0.68,906
12,east,48,68.76862107623319,184.44,3.27,892
13,west,51,63.11355555555555,206.77,3.79,900
13,south,46,74.4985549132948,197.17,5.97,865
13,north,60,58.48911406423034,175.82,0.66,903
13,east,49,72.95332199546486,197.48,5.32,882
14,west,53,63.90621040723982,227.38,2.92,884
14,south,46,74.74827387802071,196.37,8.18,869
14,north,60,59.52643171806167,180.36,0.76,908
14,east,49,75.74174157303372,206.27,5.59,890
15,west,55,62.7284140969163,254.18,3.95,908
15,south,41,73.8905704307334,191.82,8.11,859
15,north,60,57.88559510567297,176.9,0.67,899
15,east,49,123.59671711292201,332.24,5.27,859
16,west,57,62.360261958997725,209.74,2.84,878
16,south,41,73.35628175519629,187.3,7.79,866
16,north,60,58.997662624035286,340.41,0.72,907
16,east,49,154.12253488372093,403.92,5.55,860
17,west,59,63.935469988674974,266.84,4.18,883
17,south,41,76.06844393592678,232.77,7.63,874
17,north,60,61.128157602663705,430.98,0.76,901
17,east,49,146.57753792298718,384.94,3.12,857
18,west,60,64.23702762430939,254.64,3.76,905
18,south,41,71.18713286713286,199.45,5.18,858
18,north,60,58.053377630121815,326.28,0.74,903
18,east,44,148.00119577960143,380.38,3.34,853
19,west,57,63.51386740331492,198.76,4.35,905
19,south,42,72.00935972060536,205.11,7.81,859
19,north,60,56.83392419175028,294.13,0.77,897
19,east,44,111.43384436701511,303.86,5.05,861
20,west,59,65.46721164613662,240.69,4.1,893
20,south,43,72.21974595842957,180.96,5.76,866
20,north,60,58.342157079646014,176.81,0.68,904
20,east,44,91.12755403868032,241.65,3.03,879
